UGA.Sample.ID	Run.ID	File.Name
251	HVHVCDRXX	HVHVCDRXX_E251_R1
252	HVHVCDRXX	HVHVCDRXX_E252_R1
282	HVHVCDRXX	HVHVCDRXX_E282_R1
288	HVHVCDRXX	HVHVCDRXX_E288_R1
294	HVHVCDRXX	HVHVCDRXX_E294_R1
295	HVHVCDRXX	HVHVCDRXX_E295_R1
029	HVHVCDRXX	HVHVCDRXX_E29_R1
300	HVHVCDRXX	HVHVCDRXX_E300_R1
325	HVHVCDRXX	HVHVCDRXX_E325_R1
327	HVHVCDRXX	HVHVCDRXX_E327_R1
329	HVHVCDRXX	HVHVCDRXX_E329_R1
334	HVHVCDRXX	HVHVCDRXX_E334_R1
336	HVHVCDRXX	HVHVCDRXX_E336_R1
337	HVHVCDRXX	HVHVCDRXX_E337_R1
034	HVHVCDRXX	HVHVCDRXX_E34_R1
351	HVHVCDRXX	HVHVCDRXX_E351_R1
354	HVHVCDRXX	HVHVCDRXX_E354_R1
355	HVHVCDRXX	HVHVCDRXX_E355_R1
360	HVHVCDRXX	HVHVCDRXX_E360_R1
366	HVHVCDRXX	HVHVCDRXX_E366_R1
368	HVHVCDRXX	HVHVCDRXX_E368_R1
369	HVHVCDRXX	HVHVCDRXX_E369_R1
370	HVHVCDRXX	HVHVCDRXX_E370_R1
371	HVHVCDRXX	HVHVCDRXX_E371_R1
372	HVHVCDRXX	HVHVCDRXX_E372_R1
373	HVHVCDRXX	HVHVCDRXX_E373_R1
375	HVHVCDRXX	HVHVCDRXX_E375_R1
377	HVHVCDRXX	HVHVCDRXX_E377_R1
378	HVHVCDRXX	HVHVCDRXX_E378_R1
379	HVHVCDRXX	HVHVCDRXX_E379_R1
380	HVHVCDRXX	HVHVCDRXX_E380_R1
383	HVHVCDRXX	HVHVCDRXX_E383_R1
387	HVHVCDRXX	HVHVCDRXX_E387_R1
388	HVHVCDRXX	HVHVCDRXX_E388_R1
389	HVHVCDRXX	HVHVCDRXX_E389_R1
038	HVHVCDRXX	HVHVCDRXX_E38_R1
390	HVHVCDRXX	HVHVCDRXX_E390_R1
391	HVHVCDRXX	HVHVCDRXX_E391_R1
400	HVHVCDRXX	HVHVCDRXX_E400_R1
403	HVHVCDRXX	HVHVCDRXX_E403_R1
404	HVHVCDRXX	HVHVCDRXX_E404_R1
406	HVHVCDRXX	HVHVCDRXX_E406_R1
407	HVHVCDRXX	HVHVCDRXX_E407_R1
408	HVHVCDRXX	HVHVCDRXX_E408_R1
409	HVHVCDRXX	HVHVCDRXX_E409_R1
410	HVHVCDRXX	HVHVCDRXX_E410_R1
414	HVHVCDRXX	HVHVCDRXX_E414_R1
416	HVHVCDRXX	HVHVCDRXX_E416_R1
418	HVHVCDRXX	HVHVCDRXX_E418_R1
419	HVHVCDRXX	HVHVCDRXX_E419_R1
423	HVHVCDRXX	HVHVCDRXX_E423_R1
426	HVHVCDRXX	HVHVCDRXX_E426_R1
427	HVHVCDRXX	HVHVCDRXX_E427_R1
428	HVHVCDRXX	HVHVCDRXX_E428_R1
431	HVHVCDRXX	HVHVCDRXX_E431_R1
434	HVHVCDRXX	HVHVCDRXX_E434_R1
436	HVHVCDRXX	HVHVCDRXX_E436_R1
437	HVHVCDRXX	HVHVCDRXX_E437_R1
442	HVHVCDRXX	HVHVCDRXX_E442_R1
443	HVHVCDRXX	HVHVCDRXX_E443_R1
446	HVHVCDRXX	HVHVCDRXX_E446_R1
449	HVHVCDRXX	HVHVCDRXX_E449_R1
451	HVHVCDRXX	HVHVCDRXX_E451_R1
452	HVHVCDRXX	HVHVCDRXX_E452_R1
455	HVHVCDRXX	HVHVCDRXX_E455_R1
458	HVHVCDRXX	HVHVCDRXX_E458_R1
459	HVHVCDRXX	HVHVCDRXX_E459_R1
046	HVHVCDRXX	HVHVCDRXX_E46_R1
050	HVHVCDRXX	HVHVCDRXX_E50_R1
054	HVHVCDRXX	HVHVCDRXX_E54_R1
099	HVHVCDRXX	HVHVCDRXX_E99_R1
